normalized_vendor_name,vendor_name,profile_url,profile_slug,slug_match_method,gsc_status,county_rows,counties_served,word_count,sentence_count,paragraph_count,opening_template_cluster_id,opening_template_cluster_size,nearest_neighbor_similarity,uniqueness_score_1_5,vendor_description_truncated
gold country firearms,Gold Country Firearms,https://www.getcarryclass.com/instructors/gold-country-firearms-0e9f6841cf,gold-country-firearms-0e9f6841cf,exact,not_indexed,1,amador,45,3,1,197,1,0.2727,5,"Gold Country Firearms provides CCW training courses that combine classroom instruction with live-fire range qualification. Their comprehensive curriculum covers handgun safety, operation, firearms law"
lagomarsino's firearm,Lagomarsino's Firearm,https://www.getcarryclass.com/instructors/lagomarsinos-firearm,lagomarsinos-firearm,constructed,unknown,1,amador,62,3,1,237,1,0.7398,2,"Lagomarsino's Firearms Institute offers California CCW courses three times per month in the Sacramento area, taught by instructor Wes Lagomarsino. The institute provides both initial 16-hour CCW cours"
make ready firearms training,Make Ready Firearms Training,https://www.getcarryclass.com/instructors/make-ready-firearms-training-856219d164,make-ready-firearms-training-856219d164,exact,not_indexed,1,amador,67,3,1,248,1,0.2976,5,"Make Ready Firearms Training provides comprehensive firearms education in Coeur d'Alene, Idaho, serving everyone from newcomers to seasoned professionals. They offer a range of courses including intro"
morgan training center,Morgan Training Center,https://www.getcarryclass.com/instructors/morgan-training-center-b085112c4e,morgan-training-center-b085112c4e,exact,not_indexed,1,amador,66,3,1,255,1,0.3312,5,"Morgan Training Center is a veteran-owned small business operating since 1999, led by Donald Morgan who has backgrounds in military, law enforcement, and emergency services. The center provides USCCA-"
new man's karate,New Man's Karate,https://www.getcarryclass.com/instructors/new-mans-karate,new-mans-karate,constructed,unknown,2,amador|el-dorado,61,3,1,260,1,0.2471,5,New Man's Karate is a martial arts school established in 1994 that offers NRA Certified firearms courses alongside their martial arts programs. They provide CCW classes and other skill-building firear
nts next threat solutions,NTS Next Threat Solutions,https://www.getcarryclass.com/instructors/next-threat-solutions-e0c94c4161,next-threat-solutions-e0c94c4161,fuzzy,not_indexed,1,amador,57,2,1,28,2,0.6304,3,Next Threat Solutions is a firearms training company that actively supports the sustainment and growth of responsibly armed and prepared American communities through personal protection and individual
pistols in the pines,Pistols In The Pines,https://www.getcarryclass.com/instructors/pistols-in-the-pines-a8aa0b8b6c,pistols-in-the-pines-a8aa0b8b6c,exact,not_indexed,1,amador,64,3,1,283,1,0.28,5,"Pistols In The Pines is a women's firearms training company in Placerville, CA, operated by an NRA-certified female instructor. They specialize in empowering women through comprehensive firearms train"
protection plus tactics,Protection Plus Tactics,https://www.getcarryclass.com/instructors/protection-plus-tactics-llc-97fcd0e6fa,protection-plus-tactics-llc-97fcd0e6fa,fuzzy,not_indexed,2,amador|nevada,83,3,1,296,1,0.7888,2,"Protection Plus Tactics is Northern California's elite gun shop and training academy located in Loomis, CA, specializing in self-defense firearms sales, services, and training. They offer both private"
spartan defense,Spartan Defense,https://www.getcarryclass.com/instructors/spartan-defense-25aaa08193,spartan-defense-25aaa08193,exact,not_indexed,2,amador|santa-clara,62,3,1,334,1,0.878,2,"Spartan Defense LLC is a veteran-owned firearms training company established in 2013 that provides safe and practical firearms instruction across Northern California. They offer training for handguns,"
taylor total training solutions group,Taylor Total Training Solutions Group,https://www.getcarryclass.com/instructors/taylor-total-training-solutions-group-eacd028965,taylor-total-training-solutions-group-eacd028965,exact,not_indexed,1,amador,75,3,1,364,1,0.2553,5,"Total Training Solutions Group is a comprehensive firearms training company that offers CCW certifications and re-certifications across multiple states including Arizona, California, Florida, Minnesot"
weapons training school,Weapons Training School,https://www.getcarryclass.com/instructors/weapons-training-school-37af2a7887,weapons-training-school-37af2a7887,ambiguous_exact,not_indexed,3,amador|calaveras|tuolumne,62,3,1,379,1,0.2734,5,"Weapons Training School offers California CCW certification courses including 16-hour new applicant courses and 8-hour renewal courses, along with private lessons for handgun, rifle, and shotgun train"
west point concealed weapons training,West Point Concealed Weapons Training,https://www.getcarryclass.com/instructors/west-point-concealed-weapons-training-5fd83e13dd,west-point-concealed-weapons-training-5fd83e13dd,exact,not_indexed,2,amador|calaveras,74,3,1,382,1,0.2927,5,"West Point Concealed Weapons Training is a certified CCW training provider serving various California counties with instructors certified by the NRA, California DOJ, and Utah. They offer 16-hour initi"
safely carry,Safely Carry,https://www.getcarryclass.com/instructors/safely-carry-aed00a3c98,safely-carry-aed00a3c98,exact,not_indexed,2,amador|placer,38,2,1,315,1,0.2222,5,"Safely Carry provides CCW training classes for residents of El Dorado, Sacramento, Placer, and Amador counties in California. They offer inquiry-based scheduling through phone, text, or email contact,"
angel's firearm instruction,Angel's Firearm Instruction,https://www.getcarryclass.com/instructors/angels-firearm-instruction-2adbce8f84,angels-firearm-instruction-2adbce8f84,exact,not_indexed,2,butte|tehama,80,4,2,68,1,0.2872,5,"Angel's Firearms Instruction was founded by Dan Angel, a former Marine Scout Sniper and retired law enforcement professional with over 30 years of firearms experience. A.F.I. specializes in CCW traini"
afi crossed star firearms,AFI Crossed Star Firearms,https://www.getcarryclass.com/instructors/crossed-star-firearms-19d51aa5d6,crossed-star-firearms-19d51aa5d6,fuzzy,not_indexed,1,butte,61,3,1,60,1,0.6359,3,"AFI Crossed Star Firearms is a Northern California firearms instructor offering CCW classes and comprehensive firearms training for all levels of shooters. They provide 16-hour initial CCW courses, 8-"
down range indoor training center,Down Range Indoor Training Center,https://www.getcarryclass.com/instructors/down-range-indoor-training-center,down-range-indoor-training-center,constructed,unknown,2,butte|sutter,83,3,1,14,2,0.5689,3,"Down Range Indoor Training Center is Northern California's only 5-star rated range according to the National Shooting Sports Foundation, featuring the area's only 25-yard pistol, rifle and shotgun ran"
echo whiskey tactical,Echo Whiskey Tactical,https://www.getcarryclass.com/instructors/echo-whiskey-tactical-training-759ce0aceb,echo-whiskey-tactical-training-759ce0aceb,fuzzy,not_indexed,3,butte|plumas|shasta,73,3,1,15,2,0.8056,2,"Echo Whiskey Tactical is a veteran-owned business that provides firearms and personal defense instruction throughout California and Oregon, serving multiple counties including Shasta, Siskiyou, Tehama"
"black oak training, inc.","Black Oak Training, Inc.",https://www.getcarryclass.com/instructors/black-oak-training-inc-03bfaf5bcb,black-oak-training-inc-03bfaf5bcb,exact,not_indexed,3,butte|glenn|tehama,65,3,1,98,1,0.3086,5,"Black Oak Training is a firearms training company in Magalia, CA offering comprehensive CCW courses including initial certification, renewals, and add-a-gun services. They provide a wide range of addi"
miladi defense,Miladi Defense,https://www.getcarryclass.com/instructors/miladi-defense-d2e213db5e,miladi-defense-d2e213db5e,exact,not_indexed,4,butte|placer|sutter|yuba,58,3,1,253,1,0.3351,5,"Miladi Defense offers CCW certification training in Yuba City, California, serving Yuba, Sutter, Placer, and Colusa counties. They provide the state-required 16-hour initial certification course and 8"
jim's sporting goods,Jim's Sporting Goods,https://www.getcarryclass.com/instructors/jims-sporting-goods,jims-sporting-goods,constructed,unknown,1,butte,51,2,1,216,1,0.1757,5,"Jim's Sporting Goods is a family-owned firearms retailer in Canton, Pennsylvania that serves the local community with quality sporting goods including firearms, ammunition, optics, and Liberty Safes. "
baxter firearms training,Baxter Firearms Training,https://www.getcarryclass.com/instructors/baxter-firearms-training-f6cc753ad8,baxter-firearms-training-f6cc753ad8,exact,not_indexed,2,calaveras|placer,58,3,1,89,1,0.2,5,"Baxter Firearms Training is a USCCA Official Partner offering concealed carry courses and firearms instruction in Sloughhouse, CA. The instructor specializes in small class sizes limited to 10 student"
bill tidwell,Bill Tidwell,https://www.getcarryclass.com/instructors/bill-tidwell-c92d1b6b8f,bill-tidwell-c92d1b6b8f,exact,not_indexed,1,calaveras,60,3,1,97,1,0.2614,5,"Bill and Cathy Tidwell are NRA-certified instructors who have been teaching firearms safety and marksmanship in the Bay Area for over 35 years. They offer comprehensive CCW courses, basic handgun trai"
called2arms gun range,Called2Arms Gun Range,https://www.getcarryclass.com/instructors/called2arms-gun-range-0a49e4d357,called2arms-gun-range-0a49e4d357,exact,indexed,2,calaveras|merced,90,5,2,110,1,0.3054,5,Called2Arms is a Central Valley training provider with over 30 years of experience offering comprehensive security and firearms education. They specialize in both civilian CCW training and professiona
cj's world,CJ's World,https://www.getcarryclass.com/instructors/cjs-world,cjs-world,constructed,unknown,2,calaveras|placer,63,3,1,121,1,0.3013,5,"CJ's World is a comprehensive firearms training provider based in Stockton, CA that offers CCW courses, basic pistol instruction, and security guard training. They provide both classroom and range-bas"
coco firearm training,Coco Firearm Training,https://www.getcarryclass.com/instructors/coco-firearm-training-llc-1a2d4a83e2,coco-firearm-training-llc-1a2d4a83e2,fuzzy,indexed,1,calaveras,62,3,1,1,3,0.8438,2,"Coco Firearm Training LLC is an approved CCW training vendor for many agencies within the Bay Area, including Alameda SO, Contra Costa SO, Sacramento SO, and numerous police departments. Based out of "
concealed coalition,Concealed Coalition,https://www.getcarryclass.com/instructors/concealed-coalition-01614f9f3e,concealed-coalition-01614f9f3e,domain,indexed,11,calaveras|fresno|glenn|kings|los-angeles|mono|napa|orange|san-benito|san-joaquin|tulare,74,3,1,130,1,0.613,3,Concealed Coalition is a nationwide online authority for concealed carry permit training that combines next-generation digital learning with hands-on education experiences. They offer both online vide
"defensive accuracy, llc","Defensive Accuracy, LLC",https://www.getcarryclass.com/instructors/defensive-accuracy-llc-535d9771e5,defensive-accuracy-llc-535d9771e5,exact,indexed,5,calaveras|contra-costa|marin|napa|stanislaus,49,3,1,143,1,0.7062,2,"Defensive Accuracy, LLC provides California CCW training including initial CCW courses, renewals, and modifications in the Bay Area/Central Valley region. They offer private CCW classes and LEOSA qual"
defensive weapons school,Defensive Weapons School,https://www.getcarryclass.com/instructors/defensive-weapons-school-3efa3f8540,defensive-weapons-school-3efa3f8540,domain,not_indexed,2,calaveras|san-joaquin,59,3,1,149,1,0.2418,5,"Defensive Weapons School is operated by Dan Souza, who has been instructing firearms safety, marksmanship and responsible tactics since 2005. The school offers CA CCW training for Tuolumne, Calaveras,"
dobbs firearms training,Dobbs Firearms Training,https://www.getcarryclass.com/instructors/firearms-training-e51d601167,firearms-training-e51d601167,fuzzy,not_indexed,1,calaveras,44,2,1,154,1,0.6223,3,"Dobbs Firearms Training provides California CCW renewal courses that satisfy the 8-hour SB2 training requirements for multiple counties including Calaveras, Contra Costa, Solano, Napa, Sacramento, and"
"first response, firearms & tactical training","First Response, Firearms & Tactical Training",https://www.getcarryclass.com/instructors/first-response-firearms-tactical-training-020b0a516e,first-response-firearms-tactical-training-020b0a516e,exact,not_indexed,1,calaveras,65,3,1,176,1,0.3068,5,"First Response, Firearms and Tactical Training is a mobile training unit that provides concealed carry and firearms instruction to law enforcement and private citizens throughout California. Their ins"
grover group,Grover Group,https://www.getcarryclass.com/instructors/grover-group-4b40431a64,grover-group-4b40431a64,ambiguous_exact,not_indexed,10,calaveras|madera|marin|merced|napa|placer|san-benito|santa-clara|santa-cruz|tuolumne,75,3,1,199,1,0.2768,5,"Grover Group Training provides California-approved DOJ SB2 CCW curriculum with certified instructors holding credentials from California Department of Justice, NRA, USCCA, and California POST. They of"
"kiwi's custom guns, inc.","Kiwi's Custom Guns, Inc.",https://www.getcarryclass.com/instructors/kiwis-custom-guns-inc,kiwis-custom-guns-inc,constructed,unknown,1,calaveras,71,3,1,24,2,0.7873,2,Kiwi's Custom Guns operates a state-of-the-art climate controlled indoor shooting range with five 25-yard lanes capable of handling any caliber up to .50 BMG. The facility features Action Target's lat
kw defense,KW Defense,https://www.getcarryclass.com/instructors/kw-defense-6f71a6f557,kw-defense-6f71a6f557,exact,not_indexed,2,calaveras|san-joaquin,84,2,1,232,1,0.2162,5,"KW Defense offers comprehensive 16-hour CCW permit instruction approved for Stanislaus, Calaveras, Fresno, Kings, Madera, Merced, Sacramento, San Joaquin, Solano, Stockton, and Tulare Counties, with a"
lagomarsino's firearms institute,Lagomarsino's Firearms Institute,https://www.getcarryclass.com/instructors/lagomarsinos-firearms-institute,lagomarsinos-firearms-institute,constructed,unknown,1,calaveras,63,3,1,238,1,0.6378,3,"Lagomarsino's Firearms Institute offers CCW courses and comprehensive firearms training in Sacramento. Led by instructor Wes Lagomarsino, they provide California initial and renewal courses three time"
loyal arms,Loyal Arms,https://www.getcarryclass.com/instructors/loyal-arms-68e5b0dab0,loyal-arms-68e5b0dab0,ambiguous_exact,not_indexed,1,calaveras,40,3,1,242,1,0.2581,5,"Loyal Arms is a firearms retailer and training provider located in Folsom, California. They offer firearms sales, ammunition, FFL transfers, and firearms training services. The business operates with "
rosengarten firearm training,Rosengarten Firearm Training,https://www.getcarryclass.com/instructors/rosengarten-firearm-training,rosengarten-firearm-training,constructed,unknown,1,calaveras,69,2,1,310,1,0.5349,4,"Rosengarten Firearms Training is a California DOJ certified training company established in 1998 that offers CCW classes accepted by multiple counties including San Joaquin, Calaveras, Sacramento, and"
security & firearms training academy,Security & Firearms Training Academy,https://www.getcarryclass.com/instructors/security-firearms-training-academy-inc-27d4cfd0bc,security-firearms-training-academy-inc-27d4cfd0bc,fuzzy,not_indexed,1,calaveras,85,3,1,33,2,0.8691,2,"Security & Firearms Training Academy (SAFTA) is a 100% veteran-owned firearms training company serving the Sacramento region, created by Marine Corps Veterans, retired law enforcement agents, and priv"
spartan defense of california,Spartan Defense of California,https://www.getcarryclass.com/instructors/spartan-defense-of-california,spartan-defense-of-california,constructed,unknown,1,calaveras,61,3,1,164,1,0.878,2,"Established in 2013, Spartan Defense LLC is a veteran-owned firearms training company that teaches safe and practical firearms use across Northern California. They offer training on handguns, shotguns"
bigfoot firearms training academy,Bigfoot Firearms Training Academy,https://www.getcarryclass.com/instructors/bigfoot-firearms-training-academy-1c1d5a301f,bigfoot-firearms-training-academy-1c1d5a301f,exact,indexed,7,del-norte|glenn|humboldt|marin|mendocino|tehama|trinity,70,3,1,96,1,0.2716,5,"Bigfoot Firearms Training Academy is the largest civilian firearms training facility in the region with over 10 years of experience, training up to 1,000 civilians annually. They offer CCW classes for"
bob saylor,Bob Saylor,https://www.getcarryclass.com/instructors/bob-saylor-b8fdf29caf,bob-saylor-b8fdf29caf,exact,not_indexed,1,del-norte,39,2,1,100,1,0.6139,3,Bob Saylor is a certified NRA firearms instructor and retired law enforcement officer serving Del Norte County. He is recognized by the Del Norte County Sheriff's Office as an authorized CCW instructo
gene mcmanus,Gene McManus,https://www.getcarryclass.com/instructors/gene-mcmanus-37def2f1a4,gene-mcmanus-37def2f1a4,exact,not_indexed,1,del-norte,36,2,1,196,1,0.5396,4,Gene McManus is a retired Sheriff's Sergeant with 32 years of service at the Del Norte County Sheriff's Office. He is a certified CCW instructor recognized by the California Department of Justice and 
ed fleshman,Ed Fleshman,https://www.getcarryclass.com/instructors/ed-fleshman-e0039171b7,ed-fleshman-e0039171b7,exact,not_indexed,1,del-norte,34,2,1,161,1,0.6139,3,Ed Fleshman is a former Del Norte County Sheriff and certified CCW instructor with law enforcement credentials including California POST and FBI certifications. He serves as an approved CCW instructor
best handgun training,Best Handgun Training,https://www.getcarryclass.com/instructors/best-handgun-training-90a8babcb2,best-handgun-training-90a8babcb2,exact,not_indexed,1,el-dorado,67,3,1,95,1,0.4766,4,"Best Handgun Training is a full-time firearms training facility located in Lincoln, CA, offering CCW courses, NRA certified instruction, and basic pistol courses. They provide DOJ certified CCW traini"
defense shot,Defense Shot,https://www.getcarryclass.com/instructors/defense-shot-4044b458b5,defense-shot-4044b458b5,exact,not_indexed,3,el-dorado|nevada|placer,79,3,1,139,1,0.3268,5,"DefenseSHOT is a no-nonsense firearms training company located in El Dorado Hills, CA that provides CCW classes and firearms training for Sacramento, El Dorado, and Placer Counties. The company offers"
hangtown range,Hangtown Range,https://www.getcarryclass.com/instructors/hangtown-range-d2bd163fa7,hangtown-range-d2bd163fa7,exact,not_indexed,1,el-dorado,65,3,1,209,1,0.2637,5,"Hangtown Range is an indoor firearms and archery range in Placerville, California offering comprehensive shooting facilities, gun rentals, retail sales, and training programs. They feature state-of-th"
lagomarsino's firearm institute inc,Lagomarsino's Firearm Institute Inc,https://www.getcarryclass.com/instructors/lagomarsinos-firearm-institute-inc,lagomarsinos-firearm-institute-inc,constructed,unknown,1,el-dorado,61,3,1,25,2,0.6593,2,"Lagomarsino's Firearms Institute is a Sacramento-based training company operated by instructor Wes Lagomarsino. They offer California initial and renewal CCW courses three times per month, as well as "
lock-n-load,Lock-n-Load,https://www.getcarryclass.com/instructors/lock-n-load,lock-n-load,constructed,unknown,1,el-dorado,81,5,2,26,2,0.8325,2,"Lock n Load Concealed Carry Training is led by Dr. David Lungren, a certified California DOJ instructor approved to teach CCW courses for El Dorado, Placer, Sacramento, and Yolo counties. The training"
one on one firearms instruction llc,One on One Firearms Instruction LLC,https://www.getcarryclass.com/instructors/one-on-one-firearms-instruction-llc-f049927346,one-on-one-firearms-instruction-llc-f049927346,exact,not_indexed,1,el-dorado,80,3,1,273,1,0.7102,2,"ONE on ONE Firearms Instruction LLC has been Northern California's premier destination for expert firearms training since 2009. They specialize in California CCW training, offering both Initial-Issue "
sacramento gun range,Sacramento Gun Range,https://www.getcarryclass.com/instructors/sacramento-gun-range-ba78273b46,sacramento-gun-range-ba78273b46,exact,not_indexed,2,el-dorado|placer,84,3,1,313,1,0.4154,5,Sacramento Gun Range is a comprehensive training facility and shooting range offering over 50 classes led by industry-leading professionals for all skill levels from beginners to advanced shooters. Th
shoot don't shoot,Shoot Don't Shoot,https://www.getcarryclass.com/instructors/shoot-dont-shoot,shoot-dont-shoot,constructed,unknown,1,el-dorado,57,3,1,321,1,0.2368,5,"Shoot Don't Shoot is a firearms training company based in Placerville, CA that provides CCW classes and personal protection training. They focus on responsible firearms ownership including secure stor"
sierra mountain firearms,Sierra Mountain Firearms,https://www.getcarryclass.com/instructors/sierra-mountain-firearms-dd27405328,sierra-mountain-firearms-dd27405328,exact,not_indexed,1,el-dorado,50,3,1,327,1,0.3513,5,"Sierra Mountain Firearms is a full-service firearms dealer located in Shingle Springs, CA that offers buying, selling, and consignment services for firearms. They provide certified firearm training an"
aao,AAO,https://www.getcarryclass.com/instructors/aao-ce20e44d84,aao-ce20e44d84,exact,not_indexed,6,el-dorado|imperial|lassen|marin|san-benito|solano,63,3,1,51,1,0.4459,5,"AAO offers certified California CCW courses with both in-person and online options throughout the Bay Area. Led by DOJ certified instructors with extensive law enforcement backgrounds, they provide co"
safe insight,Safe Insight,https://www.getcarryclass.com/instructors/safe-insight-39eb5c9de9,safe-insight-39eb5c9de9,ambiguous_exact,not_indexed,5,el-dorado|lassen|los-angeles|tuolumne|ventura,59,3,1,32,2,0.8392,2,"Safe Insight offers sheriff-approved online CCW training that allows students to complete sections at their own pace, featuring instruction from retired law enforcement. They provide one-on-one qualif"
freedom firearms accessories & ccw training,Freedom Firearms Accessories & CCW Training,https://www.getcarryclass.com/instructors/freedom-firearms-accessories-ccw-training-49577f578d,freedom-firearms-accessories-ccw-training-49577f578d,exact,not_indexed,1,fresno,63,3,1,189,1,0.7948,2,"Freedom Firearms is a firearms training company led by Rick Field, a former SWAT Law Enforcement Officer, Army Combat Medic, and Law Enforcement Certified Firearms Instructor. They offer comprehensive"
madera regional training facility,Madera Regional Training Facility,https://www.getcarryclass.com/instructors/madera-regional-training-facility-0bcc7aa9fe,madera-regional-training-facility-0bcc7aa9fe,ambiguous_exact,not_indexed,1,fresno,54,3,1,246,1,0.2571,5,"Madera Firearms offers the widest variety of firearm training and safety classes in the Central Valley. Their expert coaching staff focuses on training students to be responsible, ethical and safe sho"
fresno rifle & pistol club,Fresno Rifle & Pistol Club,https://www.getcarryclass.com/instructors/fresno-rifle-pistol-club-f0ff91f678,fresno-rifle-pistol-club-f0ff91f678,exact,not_indexed,1,fresno,77,3,1,20,2,0.6668,2,"Fresno Rifle and Pistol Club is an outdoor recreational shooting facility located 15 minutes from Fresno and Clovis on 220 acres at the base of the Sierra foothills. Incorporated in 1934, FRPC provide"
next step training,Next Step Training,https://www.getcarryclass.com/instructors/next-step-training-07bd53e46a,next-step-training-07bd53e46a,exact,not_indexed,2,fresno|tulare,83,3,1,261,1,0.3048,5,"Next Step Training LLC is led by instructors Jeff and Marni Watkins, combining law enforcement and educational backgrounds to provide comprehensive firearms training. They offer CCW courses that satis"
jlpfi - john lewis professional firearms instruction,JLPFI - John Lewis Professional Firearms Instruction,https://www.getcarryclass.com/instructors/jlpfi-d04be8402c,jlpfi-d04be8402c,domain,not_indexed,1,fresno,77,3,1,217,1,0.6374,3,"JLPFI (John Lewis Professional Firearms Instruction) is a Central Valley firearms training provider offering CCW courses approved by multiple law enforcement agencies including Fresno County Sheriff, "
tactical 360,Tactical 360,https://www.getcarryclass.com/instructors/tactical-360,tactical-360,constructed,unknown,1,fresno,71,3,1,36,2,0.6731,2,"Tactical 360 is a firearms training company located in Bakersfield, Kern County, California, led by certified instructor Chris Martinez who has over 30 years of experience. They provide training to la"
foothill training,Foothill Training,https://www.getcarryclass.com/instructors/foothill-training-8707d29157,foothill-training-8707d29157,exact,not_indexed,4,fresno|kings|madera|tulare,73,3,1,180,1,0.2826,5,"Foothill Training is a firearms training center run by an instructor with extensive law enforcement and military credentials including POST Advanced Instructor Certification, SWAT qualification, and N"
instinct defense,Instinct Defense,https://www.getcarryclass.com/instructors/instinct-defense-ea2812331c,instinct-defense-ea2812331c,exact,not_indexed,3,fresno|madera|tulare,58,3,1,214,1,0.3421,5,Instinct Defense specializes in firearm safety instruction and home defense strategies with the goal of providing knowledge and skills to protect yourself and your loved ones. They offer a range of tr
vigilance plus training & development,Vigilance Plus Training & Development,https://www.getcarryclass.com/instructors/vigilance-plus-training-development-6163a6a5c3,vigilance-plus-training-development-6163a6a5c3,exact,not_indexed,3,fresno|kings|tulare,81,3,1,377,1,0.2721,5,Vigilance Plus Training & Development offers a comprehensive range of personal safety and self-defense training solutions led by certified instructor Curtis Bloch. The company provides customizable tr
police science institute & range pistol club,Police Science Institute & Range Pistol Club,https://www.getcarryclass.com/instructors/police-science-institute-and-range-pistol-club-20fcdaa066,police-science-institute-and-range-pistol-club-20fcdaa066,fuzzy,not_indexed,1,fresno,62,3,1,284,1,0.5403,4,Police Science Institute & Range Pistol Club has been the Valley's #1 independent school for security and law enforcement training since 1991. They operate Central California's premier indoor firearm 
zaks guns,Zaks Guns,https://www.getcarryclass.com/instructors/zaks-guns-2e4896627d,zaks-guns-2e4896627d,exact,not_indexed,1,fresno,63,3,1,38,2,0.6577,2,"Zaks Guns LLC is a firearms retailer dedicated to providing competitive prices and customer service in the firearms industry. They specialize in firearm transfers, ammunition sales, and serve as a Blu"
sun mountain gun club,Sun Mountain Gun Club,https://www.getcarryclass.com/instructors/sun-mountain-gun-club-4ddf028b3b,sun-mountain-gun-club-4ddf028b3b,exact,not_indexed,1,fresno,67,3,1,341,1,0.2609,5,"Sun Mountain Gun Club is a shooting facility nestled in the beautiful foothills of Coarsegold, just south of Yosemite National Park and approximately 30 miles north of Fresno. The club offers trap, sp"
