normalized_vendor_name,vendor_name,profile_url,profile_slug,slug_match_method,gsc_status,county_rows,counties_served,word_count,sentence_count,paragraph_count,opening_template_cluster_id,opening_template_cluster_size,nearest_neighbor_similarity,uniqueness_score_1_5,vendor_description_truncated
morgan dant,Morgan Dant,https://www.getcarryclass.com/instructors/morgan-dant,morgan-dant,constructed,unknown,1,trinity,60,2,1,2,3,0.8949,2,"Crossed Star Firearms is a Northern California firearms instructor offering CCW classes approved for residents from multiple counties including Butte, Contra Costa, Glenn, Lassen, Modoc, Nevada, Place"
spartan defense,Spartan Defense,https://www.getcarryclass.com/instructors/spartan-defense-25aaa08193,spartan-defense-25aaa08193,exact,not_indexed,2,amador|santa-clara,62,3,1,334,1,0.878,2,"Spartan Defense LLC is a veteran-owned firearms training company established in 2013 that provides safe and practical firearms instruction across Northern California. They offer training for handguns,"
spartan defense of california,Spartan Defense of California,https://www.getcarryclass.com/instructors/spartan-defense-of-california,spartan-defense-of-california,constructed,unknown,1,calaveras,61,3,1,164,1,0.878,2,"Established in 2013, Spartan Defense LLC is a veteran-owned firearms training company that teaches safe and practical firearms use across Northern California. They offer training on handguns, shotguns"
security & firearms training academy,Security & Firearms Training Academy,https://www.getcarryclass.com/instructors/security-firearms-training-academy-inc-27d4cfd0bc,security-firearms-training-academy-inc-27d4cfd0bc,fuzzy,not_indexed,1,calaveras,85,3,1,33,2,0.8691,2,"Security & Firearms Training Academy (SAFTA) is a 100% veteran-owned firearms training company serving the Sacramento region, created by Marine Corps Veterans, retired law enforcement agents, and priv"
"security & firearms training academy, inc.","Security & Firearms Training Academy, Inc.",https://www.getcarryclass.com/instructors/security-firearms-training-academy-inc-27d4cfd0bc,security-firearms-training-academy-inc-27d4cfd0bc,exact,not_indexed,1,placer,81,3,1,33,2,0.8691,2,"Security & Firearms Training Academy (SAFTA) is a 100% veteran-owned training academy founded by Marine Corps Veterans, retired law enforcement agents, and private security veterans. They offer CCW tr"
shooters paradise,Shooters Paradise,https://www.getcarryclass.com/instructors/shooters-paradise,shooters-paradise,constructed,unknown,1,yuba,71,3,1,323,1,0.853,2,"Shooter's Paradise is a veteran-owned and operated indoor shooting range and gun shop in Yuba City, serving as the only public indoor shooting range in the Yuba/Sutter area. They offer a 9-lane indoor"
hard focus firearms training,Hard Focus Firearms Training,https://www.getcarryclass.com/instructors/hard-focus-firearms-training-llc-78f8b158d7,hard-focus-firearms-training-llc-78f8b158d7,fuzzy,not_indexed,3,san-benito|stanislaus|tuolumne,68,3,1,0,4,0.8464,2,Hard Focus Firearms Training is dedicated to providing effective techniques in defensive shooting to protect students and their loved ones. They pride themselves on exceeding minimum standards by prov
safe insight,Safe Insight,https://www.getcarryclass.com/instructors/safe-insight-39eb5c9de9,safe-insight-39eb5c9de9,ambiguous_exact,not_indexed,5,el-dorado|lassen|los-angeles|tuolumne|ventura,59,3,1,32,2,0.8392,2,"Safe Insight offers sheriff-approved online CCW training that allows students to complete sections at their own pace, featuring instruction from retired law enforcement. They provide one-on-one qualif"
"safe insight, llc","Safe Insight, LLC",https://www.getcarryclass.com/instructors/safe-insight-39eb5c9de9,safe-insight-39eb5c9de9,fuzzy,not_indexed,1,orange,65,3,1,32,2,0.8392,2,Safe Insight offers sheriff-approved online CCW training that allows students to complete sections at their own pace without spending weekends in classroom settings. The company provides training with
practical training solutions llc,Practical Training Solutions LLC,https://www.getcarryclass.com/instructors/practical-training-solutions-llc-1e730efa68,practical-training-solutions-llc-1e730efa68,exact,not_indexed,1,fresno,55,3,1,293,1,0.8328,2,"Practical Training Solutions LLC provides professional firearms training designed to equip civilians with the knowledge and skills to protect themselves and others. They proudly serve Tulare, Kern, Ki"
practical training solutions,Practical Training Solutions,https://www.getcarryclass.com/instructors/practical-training-solutions-318eb3c7e8,practical-training-solutions-318eb3c7e8,exact,not_indexed,2,kings|tulare,52,3,1,292,1,0.8328,2,"Practical Training Solutions is a professional firearms training company serving Tulare, Kern, Kings, and Fresno Counties in California. They provide comprehensive CCW training designed to equip civil"
lock-n-load,Lock-n-Load,https://www.getcarryclass.com/instructors/lock-n-load,lock-n-load,constructed,unknown,1,el-dorado,81,5,2,26,2,0.8325,2,"Lock n Load Concealed Carry Training is led by Dr. David Lungren, a certified California DOJ instructor approved to teach CCW courses for El Dorado, Placer, Sacramento, and Yolo counties. The training"
lock n load concealed carry,Lock N Load Concealed Carry,https://www.getcarryclass.com/instructors/lock-n-load-concealed-carry-030c3e6143,lock-n-load-concealed-carry-030c3e6143,exact,not_indexed,1,placer,77,5,2,26,2,0.8325,2,"Lock n Load Concealed Carry Training is operated by Dr. David Lungren, a California DOJ certified instructor approved to teach CCW courses for El Dorado, Placer, Sacramento, and Yolo counties. The com"
powers firearms training,Powers Firearms Training,https://www.getcarryclass.com/instructors/powers-firearms-training-cc547c5caa,powers-firearms-training-cc547c5caa,exact,not_indexed,2,inyo|tulare,86,3,1,289,1,0.8255,2,"Powers Firearms Training is a family-owned business serving Kern County for over 50 years, operated by Craig and Becky Powers. They offer specialized courses and certifications in Concealed Carry (CCW"
crossed star firearms,Crossed Star Firearms,https://www.getcarryclass.com/instructors/crossed-star-firearms-19d51aa5d6,crossed-star-firearms-19d51aa5d6,ambiguous_exact,not_indexed,8,glenn|lassen|nevada|placer|plumas|san-benito|sutter|yuba,79,3,1,2,3,0.8253,2,"Crossed Star Firearms is a Northern California firearms instructor offering CCW classes for residents of multiple counties including Butte, Contra Costa, Glenn, Lassen, Modoc, Nevada, Placer, Plumas, "
"mcgrew & associates, inc","McGrew & Associates, Inc",https://www.getcarryclass.com/instructors/mcgrew-associates-inc-f75201d271,mcgrew-associates-inc-f75201d271,exact,not_indexed,1,santa-clara,66,4,2,3,3,0.8174,2,"McGrew & Associates, Inc. is a highly qualified investigative and security consulting firm in San Jose that specializes in security training including Guard Card, firearms, and CCW courses. They bring"
"mcgrew & associates, inc.","McGrew & Associates, Inc.",https://www.getcarryclass.com/instructors/mcgrew-associates-inc-f75201d271,mcgrew-associates-inc-f75201d271,exact,not_indexed,1,santa-cruz,62,4,2,3,3,0.8174,2,"McGrew & Associates, Inc. is a highly qualified investigative and security consulting firm in San Jose that offers California CCW courses among other security training services. The company brings ove"
coco firearms training,Coco Firearms Training,https://www.getcarryclass.com/instructors/firearms-training-e51d601167,firearms-training-e51d601167,fuzzy,not_indexed,1,santa-clara,57,3,1,1,3,0.8087,2,"Coco Firearm Training LLC is an approved CCW training vendor for numerous Bay Area law enforcement agencies including Alameda SO, Contra Costa SO, Sacramento SO, and many others. Based out of Oakley, "
force defensive firearms training,Force Defensive Firearms Training,https://www.getcarryclass.com/instructors/defensive-firearms-training-llc-016e5d1f51,defensive-firearms-training-llc-016e5d1f51,fuzzy,not_indexed,1,riverside,65,3,1,19,2,0.8086,2,"Force Defensive Firearms Training offers small group CCW classes, private lessons, and firearms training in Murrieta, CA. They are a POST CCW, DOJ CA approved vendor serving multiple sheriff's departm"
force defensive firearms trng,Force Defensive Firearms Trng,https://www.getcarryclass.com/instructors/force-defensive-firearms-trng-008acfd29f,force-defensive-firearms-trng-008acfd29f,exact,not_indexed,1,san-diego,67,3,1,19,2,0.8086,2,"Force Defensive Firearms Training offers small group CCW classes, in and out of state CCW training, private lessons, and pistol, rifle, and safety classes in Murrieta, CA. They are a POST CCW, DOJ CA "
echo whiskey tactical,Echo Whiskey Tactical,https://www.getcarryclass.com/instructors/echo-whiskey-tactical-training-759ce0aceb,echo-whiskey-tactical-training-759ce0aceb,fuzzy,not_indexed,3,butte|plumas|shasta,73,3,1,15,2,0.8056,2,"Echo Whiskey Tactical is a veteran-owned business that provides firearms and personal defense instruction throughout California and Oregon, serving multiple counties including Shasta, Siskiyou, Tehama"
echo whiskey tactical training,Echo Whiskey Tactical Training,https://www.getcarryclass.com/instructors/echo-whiskey-tactical-training-759ce0aceb,echo-whiskey-tactical-training-759ce0aceb,exact,not_indexed,2,lassen|tehama,80,3,1,15,2,0.8056,2,"Echo Whiskey Tactical is a veteran-owned business that provides firearms and personal defense instruction through all levels of experience, from novice to expert. All instructors are certified and hig"
hansen firearms training ft3 tactical range,Hansen Firearms Training FT3 Tactical Range,https://www.getcarryclass.com/instructors/hansen-firearms-training-ft3-tactical-range,hansen-firearms-training-ft3-tactical-range,constructed,unknown,1,los-angeles,65,3,1,23,2,0.8023,2,"Hansen Firearms Training is Southern California's top rated firearms training company for concealed firearm permits. They offer CCW classes officially approved by Orange, San Diego, and Los Angeles Co"
hammer stryke,Hammer Stryke,https://www.getcarryclass.com/instructors/hammer-stryke,hammer-stryke,constructed,unknown,2,madera|mariposa,65,3,1,22,2,0.7981,2,"Hammer Stryke Self-Reliance Training is a California corporation providing advanced firearms training, CCW classes, and personal protection skills throughout central California. They operate training "
edward davies,Edward Davies,https://www.getcarryclass.com/instructors/edward-davies,edward-davies,constructed,unknown,1,mendocino,66,3,1,302,1,0.7969,2,"Redwood Practical Shooters is an IDPA and NRA affiliated shooting club on the Mendocino Coast of California, serving the Fort Bragg, Caspar, and Mendocino areas. They offer CCW classes, handgun skill-"
marco a. innocenti,Marco A. Innocenti,https://www.getcarryclass.com/instructors/marco-a-innocenti-9e8608fa9d,marco-a-innocenti-9e8608fa9d,exact,not_indexed,1,mendocino,57,3,1,301,1,0.7969,2,"Redwood Practical Shooters is a shooting club affiliated with IDPA and NRA located on the Mendocino Coast near Fort Bragg, California. They offer CCW classes, handgun skill-builder classes, and variou"
freedom firearms accessories & ccw training,Freedom Firearms Accessories & CCW Training,https://www.getcarryclass.com/instructors/freedom-firearms-accessories-ccw-training-49577f578d,freedom-firearms-accessories-ccw-training-49577f578d,exact,not_indexed,1,fresno,63,3,1,189,1,0.7948,2,"Freedom Firearms is a firearms training company led by Rick Field, a former SWAT Law Enforcement Officer, Army Combat Medic, and Law Enforcement Certified Firearms Instructor. They offer comprehensive"
freedom firearms,Freedom Firearms,https://www.getcarryclass.com/instructors/freedom-firearms,freedom-firearms,constructed,unknown,2,madera|tulare,63,3,1,190,1,0.7948,2,"Freedom Firearms is led by Rick Field, a SWAT Law Enforcement Officer, Army Combat Medic, and Law Enforcement Certified Firearms Instructor who brings real-world experience to firearms education. They"
defensive accuracy firearms training,Defensive Accuracy Firearms Training,https://www.getcarryclass.com/instructors/defensive-firearms-training-llc-016e5d1f51,defensive-firearms-training-llc-016e5d1f51,fuzzy,not_indexed,1,san-joaquin,46,3,1,140,1,0.7928,2,"Defensive Accuracy Firearms Training provides California CCW instruction and training services in the Bay Area and Central California region. They offer initial CCW courses, renewals, modifications, p"
alpha culture llc,Alpha Culture LLC,https://www.getcarryclass.com/instructors/alpha-culture-fd45da4492,alpha-culture-fd45da4492,fuzzy,not_indexed,1,los-angeles,53,3,1,63,1,0.7926,2,"Alpha Culture LLC is a firearms training company that provides holistic approach training with both field and classroom instruction. They offer Basic Firearms courses, USCCA courses, and Basic CPR & L"
alpha culture,Alpha Culture,https://www.getcarryclass.com/instructors/alpha-culture-fd45da4492,alpha-culture-fd45da4492,exact,not_indexed,1,san-diego,51,4,2,8,2,0.7926,2,"Alpha Culture L.L.C. provides firearms training with a holistic approach combining in-field and classroom instruction. They offer USCCA courses, basic firearms training, and CPR & life support classes"
alphaculture llc,AlphaCulture LLC,https://www.getcarryclass.com/instructors/alphaculture-llc,alphaculture-llc,constructed,unknown,1,riverside,42,3,1,8,2,0.7915,2,"Alpha Culture L.L.C. is a firearms training company that provides holistic training combining both field and classroom instruction. They offer USCCA courses, basic firearms training, and CPR & life su"
protection plus tactics,Protection Plus Tactics,https://www.getcarryclass.com/instructors/protection-plus-tactics-llc-97fcd0e6fa,protection-plus-tactics-llc-97fcd0e6fa,fuzzy,not_indexed,2,amador|nevada,83,3,1,296,1,0.7888,2,"Protection Plus Tactics is Northern California's elite gun shop and training academy located in Loomis, CA, specializing in self-defense firearms sales, services, and training. They offer both private"
"protection plus tactics, llc","Protection Plus Tactics, LLC",https://www.getcarryclass.com/instructors/protection-plus-tactics-llc-97fcd0e6fa,protection-plus-tactics-llc-97fcd0e6fa,exact,not_indexed,1,placer,82,3,1,297,1,0.7888,2,"Protection Plus Tactics, LLC is Northern California's elite gun shop and training academy located in Loomis, specializing in self-defense firearms sales, services, and training. They offer both privat"
"kiwi's custom guns, inc.","Kiwi's Custom Guns, Inc.",https://www.getcarryclass.com/instructors/kiwis-custom-guns-inc,kiwis-custom-guns-inc,constructed,unknown,1,calaveras,71,3,1,24,2,0.7873,2,Kiwi's Custom Guns operates a state-of-the-art climate controlled indoor shooting range with five 25-yard lanes capable of handling any caliber up to .50 BMG. The facility features Action Target's lat
kiwi's custom guns,Kiwi's Custom Guns,https://www.getcarryclass.com/instructors/kiwis-custom-guns,kiwis-custom-guns,constructed,unknown,2,merced|tuolumne,68,3,1,24,2,0.7873,2,Kiwi's Custom Guns operates a state-of-the-art climate-controlled indoor shooting range with five 25-yard lanes capable of handling calibers up to .50 BMG. The facility features advanced Action Target
kiwi's custom guns inc.,Kiwi's Custom Guns Inc.,https://www.getcarryclass.com/instructors/kiwis-custom-guns-inc,kiwis-custom-guns-inc,constructed,unknown,1,stanislaus,59,4,2,229,1,0.7756,2,Kiwi's Custom Guns Inc. operates a state-of-the-art climate controlled indoor shooting range with five 25-yard lanes capable of handling calibers up to .50BMG. The facility features advanced Action Ta
bay area tactical (bat),Bay Area Tactical (BAT),https://www.getcarryclass.com/instructors/bay-area-tactical-group-bat-tactical-4903e3cbaa,bay-area-tactical-group-bat-tactical-4903e3cbaa,fuzzy,not_indexed,1,san-joaquin,77,3,1,90,1,0.7677,2,"Bay Area Tactical Group (BAT) is the premier destination for tactical and firearms training in the Bay Area, led by certified and experienced instructors. They offer a comprehensive range of courses f"
bay area tactical group,Bay Area Tactical Group,https://www.getcarryclass.com/instructors/bay-area-tactical-group-bat-tactical-4903e3cbaa,bay-area-tactical-group-bat-tactical-4903e3cbaa,fuzzy,not_indexed,1,santa-clara,81,3,1,10,2,0.7677,2,"Bay Area Tactical Group (BAT Tactical) is the premier destination for tactical and firearms training in the Bay Area, led by certified and experienced instructors. They offer a comprehensive range of "
silicon valley tactical,Silicon Valley Tactical,https://www.getcarryclass.com/instructors/silicon-valley-tactical-a754d9bb65,silicon-valley-tactical-a754d9bb65,exact,not_indexed,1,santa-clara,62,3,1,328,1,0.7659,2,"Silicon Valley Tactical (SVT) is a comprehensive firearm training company serving Campbell, CA offering programs from beginner to expert levels. They provide personalized CCW training including 16-hou"
silicon valley tactical firearm instruction,Silicon Valley Tactical Firearm Instruction,https://www.getcarryclass.com/instructors/silicon-valley-tactical-firearm-instruction,silicon-valley-tactical-firearm-instruction,constructed,unknown,1,santa-cruz,70,3,1,329,1,0.7659,2,"Silicon Valley Tactical (SVT) provides comprehensive firearm training programs from beginner to expert levels in Campbell, CA. They offer personalized learning experiences with friendly and experience"
bat tactical (bay area tactical group),BAT Tactical (Bay Area Tactical Group),https://www.getcarryclass.com/instructors/bay-area-tactical-group-bat-tactical-4903e3cbaa,bay-area-tactical-group-bat-tactical-4903e3cbaa,fuzzy,not_indexed,1,santa-cruz,68,3,1,88,1,0.7597,2,BAT Tactical (Bay Area Tactical Group) is the premier destination for tactical and firearms training in the Bay Area. Their expert certified instructors provide comprehensive programs from basic handg
bay area tactical,Bay Area Tactical,https://www.getcarryclass.com/instructors/bay-area-tactical,bay-area-tactical,constructed,unknown,1,solano,76,3,1,91,1,0.7597,2,Bay Area Tactical Group is a premier tactical and firearms training company serving the Bay Area with expert instructors providing education and support for all skill levels. They offer a wide range o
"first priority security consulting, llc","First Priority Security Consulting, LLC",https://www.getcarryclass.com/instructors/first-priority-security-consulting-llc-69868f713a,first-priority-security-consulting-llc-69868f713a,exact,not_indexed,1,merced,66,3,1,18,2,0.7585,2,First Priority Security Consulting LLC is a fully licensed FFL01/07 firearms business that provides safe and affordable firearms training to citizens in San Joaquin and surrounding counties. They offe
first priority security consulting llc,First Priority Security Consulting LLC,https://www.getcarryclass.com/instructors/first-priority-security-consulting-llc-69868f713a,first-priority-security-consulting-llc-69868f713a,exact,not_indexed,1,santa-clara,61,3,1,18,2,0.7585,2,First Priority Security Consulting LLC is a fully licensed FFL01/07 firearms business providing safe and affordable firearms training to citizens in San Joaquin and surrounding counties. They offer CC
april skye defense tactics,April Skye Defense Tactics,https://www.getcarryclass.com/instructors/april-skye-defense-tactics-ebbafbbcb5,april-skye-defense-tactics-ebbafbbcb5,exact,not_indexed,2,fresno|tulare,62,2,1,9,2,0.7494,2,"April Skye Defense Tactics is run by April Skye Parsons, a certified firearms instructor for California, Utah and Tennessee who offers CCW classes for Tulare, Kings, Fresno and Madera Counties. She ho"
april-skye defense tactics,April-Skye Defense Tactics,https://www.getcarryclass.com/instructors/april-skye-defense-tactics-ebbafbbcb5,april-skye-defense-tactics-ebbafbbcb5,exact,not_indexed,1,madera,86,3,1,9,2,0.7494,2,"April Skye Defense Tactics is run by April Skye Parsons, a certified firearms instructor for California, Utah and Tennessee who offers CCW classes for Tulare, Kings, Fresno and Madera Counties in Cali"
protector ccw & firearms,Protector CCW & Firearms,https://www.getcarryclass.com/instructors/protector-ccw-firearms-trng-6a023984e6,protector-ccw-firearms-trng-6a023984e6,fuzzy,not_indexed,1,riverside,57,3,1,31,2,0.7491,2,Protector CCW & Firearms Training provides 16-hour Initial and 8-hour Renewal CCW courses for Riverside and San Diego Counties. Their instructors bring over 26 years of actual field experience from fe
protector ccw & firearms trng,Protector CCW & Firearms Trng,https://www.getcarryclass.com/instructors/protector-ccw-firearms-trng-6a023984e6,protector-ccw-firearms-trng-6a023984e6,exact,not_indexed,1,san-diego,59,3,1,31,2,0.7491,2,Protector CCW & Firearms Training provides 16-hour Initial and 8-hour Renewal CCW courses for Riverside and San Diego Counties. Their instructors are former USBP Law Enforcement with over 26 years of 
lagomarsino's firearm,Lagomarsino's Firearm,https://www.getcarryclass.com/instructors/lagomarsinos-firearm,lagomarsinos-firearm,constructed,unknown,1,amador,62,3,1,237,1,0.7398,2,"Lagomarsino's Firearms Institute offers California CCW courses three times per month in the Sacramento area, taught by instructor Wes Lagomarsino. The institute provides both initial 16-hour CCW cours"
"lagomarsino's firearms institute, inc.","Lagomarsino's Firearms Institute, Inc.",https://www.getcarryclass.com/instructors/lagomarsinos-firearms-institute-inc,lagomarsinos-firearms-institute-inc,constructed,unknown,1,placer,70,3,1,25,2,0.7398,2,"Lagomarsino's Firearms Institute is a Sacramento-based firearms training company led by instructor Wes Lagomarsino. They offer California initial and renewal CCW courses three times per month, as well"
paco villareal,Paco Villareal,https://www.getcarryclass.com/instructors/paco-villareal,paco-villareal,constructed,unknown,1,madera,64,4,2,7,2,0.737,2,559CCW provides online and in-person California CCW training led by a U.S. Marine Corps veteran and DOJ-certified instructor. They offer 16-hour initial courses and 8-hour renewal courses that meet al
559 ccw,559 CCW,https://www.getcarryclass.com/instructors/559-ccw,559-ccw,constructed,unknown,2,merced|plumas,72,4,2,45,1,0.737,2,"559CCW is a California online CCW training provider serving Fresno, Tulare, Madera, Merced, Plumas, and Kings County residents. They offer both online and in-person CCW courses, including 16-hour init"
2a firearms academy,2A Firearms Academy,https://www.getcarryclass.com/instructors/2a-firearms-academy-03b19d6aeb,2a-firearms-academy-03b19d6aeb,exact,not_indexed,2,marin|solano,67,3,1,6,2,0.7361,2,2A Firearms Academy is a Bay Area firearms training company founded by certified instructors Doug Kevilus and Ryan Lewis. They provide CCW certification training accepted by over 30 jurisdictions thro
2nd amendment firearms academy,2nd AMENDMENT FIREARMS ACADEMY,https://www.getcarryclass.com/instructors/2nd-amendment-firearms-academy,2nd-amendment-firearms-academy,constructed,unknown,2,contra-costa|sonoma,70,4,2,6,2,0.7361,2,2A Firearms Academy is a Bay Area-based firearms training company founded by U.S. Army veteran Doug Kevilus and co-founder Ryan Lewis. The academy specializes in California CCW certification and defen
mcgrew & associates inc.,McGrew & Associates Inc.,https://www.getcarryclass.com/instructors/mcgrew-associates-inc-f75201d271,mcgrew-associates-inc-f75201d271,exact,not_indexed,1,san-benito,79,4,2,3,3,0.7197,2,"McGrew & Associates, Inc. is a highly qualified investigative and security consulting firm located in San Jose, CA, with over 100 years of combined experience in law enforcement, security and investig"
medic up consulting,Medic Up Consulting,https://www.getcarryclass.com/instructors/medic-up-consulting-llc-afdadc7abb,medic-up-consulting-llc-afdadc7abb,fuzzy,not_indexed,1,los-angeles,67,3,1,27,2,0.7184,2,"Medic Up Consulting LLC is a deputy-led CCW training company serving Los Angeles, Orange, and San Bernardino counties with SB2 compliant courses. They offer comprehensive training that combines firear"
medic up consulting llc,Medic Up Consulting LLC,https://www.getcarryclass.com/instructors/medic-up-consulting-llc-afdadc7abb,medic-up-consulting-llc-afdadc7abb,exact,not_indexed,1,riverside,59,3,1,27,2,0.7184,2,"Medic Up Consulting LLC is a deputy-led CCW training company serving Los Angeles, Orange, and San Bernardino counties. They provide SB2 compliant training that combines firearms instruction with medic"
jlpfi,JLPFI,https://www.getcarryclass.com/instructors/jlpfi-d04be8402c,jlpfi-d04be8402c,exact,not_indexed,2,mariposa|tulare,74,3,1,218,1,0.7158,2,John Lewis Professional Firearms Instruction (JLPFI) is a Central Valley firearms training company that specializes in concealed weapons courses and advanced firearms instruction. Led by instructor Jo
john lewis professional firearms instruction,John Lewis Professional Firearms Instruction,https://www.getcarryclass.com/instructors/jlpfi-d04be8402c,jlpfi-d04be8402c,domain,not_indexed,1,merced,75,3,1,219,1,0.7158,2,"John Lewis Professional Firearms Instruction is a professional firearms training business in Clovis, California that specializes in concealed weapons permit courses and advanced firearms instruction. "
one on one firearms instruction llc,One on One Firearms Instruction LLC,https://www.getcarryclass.com/instructors/one-on-one-firearms-instruction-llc-f049927346,one-on-one-firearms-instruction-llc-f049927346,exact,not_indexed,1,el-dorado,80,3,1,273,1,0.7102,2,"ONE on ONE Firearms Instruction LLC has been Northern California's premier destination for expert firearms training since 2009. They specialize in California CCW training, offering both Initial-Issue "
one on one firearms,One on One Firearms,https://www.getcarryclass.com/instructors/one-on-one-firearms-instruction-llc-f049927346,one-on-one-firearms-instruction-llc-f049927346,fuzzy,not_indexed,3,lassen|napa|nevada,92,4,2,272,1,0.7102,2,"ONE on ONE Firearms has been Northern California's premier destination for expert firearms training since 2009. Their highly-rated firearms instructors have taught thousands of students, providing gro"
basic gun safety ft3 tactical range,Basic Gun Safety FT3 Tactical Range,https://www.getcarryclass.com/instructors/basic-gun-safety-ft3-tactical-range-4b4ff9175f,basic-gun-safety-ft3-tactical-range-4b4ff9175f,exact,not_indexed,1,los-angeles,78,5,2,85,1,0.7072,2,"Basic Gun Safety is led by Roger Harvey, a retired Army Colonel and current U.S. Military Pentathlon Team coach who trains at the U.S. Olympic Training Center. The facility features a $30,000 LaserSho"
basic gun safety,Basic Gun Safety,https://www.getcarryclass.com/instructors/basic-gun-safety,basic-gun-safety,constructed,unknown,1,orange,73,4,2,86,1,0.7072,2,"Basic Gun Safety is operated by Roger Harvey, a POST Firearms Instructor, NRA Training Counselor, and coach of the U.S. Military Pentathlon Team who has trained numerous World Champions. The training "
critical advantage consulting,Critical Advantage Consulting,https://www.getcarryclass.com/instructors/critical-advantage-consulting,critical-advantage-consulting,constructed,unknown,1,ventura,56,3,1,134,1,0.6884,2,Critical Advantage Consulting is a veteran and honorably retired law enforcement owned training company founded in 2019 with 53 years of combined law enforcement experience. They specialize in safety 
action firearms training,Action Firearms Training,https://www.getcarryclass.com/instructors/action-firearms-training-3e2c8a1aa8,action-firearms-training-3e2c8a1aa8,exact,not_indexed,1,ventura,58,3,1,55,1,0.6884,2,Action Firearms Training is a veteran and honorably retired law enforcement owned company founded in 2019 with 53 years of combined law enforcement experience. They specialize in safety and firearms t
sttarr – sierra tactical training,STTARR – Sierra Tactical Training,https://www.getcarryclass.com/instructors/sttarr-sierra-tactical-training,sttarr-sierra-tactical-training,constructed,unknown,1,inyo,71,3,1,4,3,0.6858,2,"Sierra Tactical Training and Active Response Resources (STTARR) is located in Bishop, California and provides certified CCW training for Inyo and Mono Counties. They offer both 16-hour initial CCW cou"
